ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,32,6859,GRAPHICS/ADVERTISING,8/12/2025,PRINT,Print Ad,15325,1545,"Adams, Eric L",1,,15325.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6904,LED TRUCK,8/25/2025,BILLBD,Billboard,15000,1545,"Adams, Eric L",1,,15000.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6898,MEDIA DISTRIBUTION,8/25/2025,PRINT,Print Ad,14000,1545,"Adams, Eric L",1,,14000.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,32,6856,PALM CARD,8/11/2025,LITER,Leaflet/Flyer,2625,1545,"Adams, Eric L",1,,2625.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,32,6857,POSTER,8/11/2025,LITER,Leaflet/Flyer,2200,1545,"Adams, Eric L",1,,2200.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6894,PRODUCTION,8/25/2025,INTVID,Video (Internet),3750,1545,"Adams, Eric L",1,,3750.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6895,PRODUCTION,8/25/2025,INTVID,Video (Internet),3750,1545,"Adams, Eric L",1,,3750.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6896,PRODUCTION,8/25/2025,INTVID,Video (Internet),3750,1545,"Adams, Eric L",1,,3750.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6897,PRODUCTION,8/25/2025,INTVID,Video (Internet),3750,1545,"Adams, Eric L",1,,3750.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,33,6864,TEXT MESSAGES,8/23/2025,TEXT,Text Messages,20625,1545,"Adams, Eric L",1,,20625.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6900,TEXT MESSAGES,8/27/2025,TEXT,Text Messages,17963,1545,"Adams, Eric L",1,,17963.1700,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6902,TEXT MESSAGES,8/25/2025,TEXT,Text Messages,6270,1545,"Adams, Eric L",1,,6270.0000,Support
