AD,ED,County,Candidate,Tally
23,028,Queens,Curtis A. Sliwa,24
23,028,Queens,Eric L. Adams,0
23,028,Queens,Irene Estrada,1
23,028,Queens,Jim Walden,0
23,028,Queens,Joseph Hernandez,0
23,028,Queens,Zohran Kwame Mamdani,149
23,029,Queens,Andrew M. Cuomo,902
23,029,Queens,Curtis A. Sliwa,14
23,029,Queens,Eric L. Adams,2
23,029,Queens,Irene Estrada,0
23,029,Queens,Jim Walden,0
23,029,Queens,Joseph Hernandez,0
23,029,Queens,Zohran Kwame Mamdani,9
23,030,Queens,Andrew M. Cuomo,641
23,030,Queens,Curtis A. Sliwa,28
23,030,Queens,Eric L. Adams,2
23,030,Queens,Irene Estrada,0
23,030,Queens,Jim Walden,0
23,030,Queens,Joseph Hernandez,1
23,030,Queens,Zohran Kwame Mamdani,95
23,031,Queens,Andrew M. Cuomo,465
23,031,Queens,Curtis A. Sliwa,29
23,031,Queens,Eric L. Adams,2
23,031,Queens,Irene Estrada,0
23,031,Queens,Jim Walden,0
23,031,Queens,Joseph Hernandez,0
23,031,Queens,Zohran Kwame Mamdani,200
23,032,Queens,Andrew M. Cuomo,602
23,032,Queens,Curtis A. Sliwa,41
23,032,Queens,Eric L. Adams,4
23,032,Queens,Irene Estrada,1
23,032,Queens,Jim Walden,0
23,032,Queens,Joseph Hernandez,0
23,032,Queens,Zohran Kwame Mamdani,218
23,033,Queens,Andrew M. Cuomo,622
23,033,Queens,Curtis A. Sliwa,276
23,033,Queens,Eric L. Adams,0
23,033,Queens,Irene Estrada,0
23,033,Queens,Jim Walden,0
23,033,Queens,Joseph Hernandez,0
23,033,Queens,Zohran Kwame Mamdani,96
23,034,Queens,Andrew M. Cuomo,488
23,034,Queens,Curtis A. Sliwa,296
23,034,Queens,Eric L. Adams,0
23,034,Queens,Irene Estrada,0
23,034,Queens,Jim Walden,0
23,034,Queens,Joseph Hernandez,0
23,034,Queens,Zohran Kwame Mamdani,87
23,035,Queens,Andrew M. Cuomo,508
23,035,Queens,Curtis A. Sliwa,262
23,035,Queens,Eric L. Adams,0
23,035,Queens,Irene Estrada,0
23,035,Queens,Jim Walden,0
23,035,Queens,Joseph Hernandez,0
23,035,Queens,Zohran Kwame Mamdani,69
23,036,Queens,Andrew M. Cuomo,491
23,036,Queens,Curtis A. Sliwa,275
23,036,Queens,Eric L. Adams,0
23,036,Queens,Irene Estrada,2
23,036,Queens,Jim Walden,0
23,036,Queens,Joseph Hernandez,0
23,036,Queens,Zohran Kwame Mamdani,131
23,037,Queens,Andrew M. Cuomo,399
23,037,Queens,Curtis A. Sliwa,290
23,037,Queens,Eric L. Adams,1
23,037,Queens,Irene Estrada,1
23,037,Queens,Jim Walden,0
23,037,Queens,Joseph Hernandez,0
23,037,Queens,Zohran Kwame Mamdani,178
23,038,Queens,Andrew M. Cuomo,402
23,038,Queens,Curtis A. Sliwa,224
23,038,Queens,Eric L. Adams,0
23,038,Queens,Irene Estrada,1
23,038,Queens,Jim Walden,0
23,038,Queens,Joseph Hernandez,1
23,038,Queens,Zohran Kwame Mamdani,99
23,039,Queens,Andrew M. Cuomo,16
23,039,Queens,Curtis A. Sliwa,3
23,039,Queens,Eric L. Adams,0
23,039,Queens,Irene Estrada,0
23,039,Queens,Jim Walden,0
23,039,Queens,Joseph Hernandez,0
23,039,Queens,Zohran Kwame Mamdani,26
23,040,Queens,Andrew M. Cuomo,149
23,040,Queens,Curtis A. Sliwa,48
23,040,Queens,Eric L. Adams,0
23,040,Queens,Irene Estrada,0
23,040,Queens,Jim Walden,0
23,040,Queens,Joseph Hernandez,0
23,040,Queens,Zohran Kwame Mamdani,208
23,041,Queens,Andrew M. Cuomo,251
23,041,Queens,Curtis A. Sliwa,119
23,041,Queens,Eric L. Adams,0
23,041,Queens,Irene Estrada,0
23,041,Queens,Jim Walden,0
23,041,Queens,Joseph Hernandez,1
23,041,Queens,Zohran Kwame Mamdani,172
23,042,Queens,Andrew M. Cuomo,161
23,042,Queens,Curtis A. Sliwa,65
23,042,Queens,Eric L. Adams,0
23,042,Queens,Irene Estrada,2
23,042,Queens,Jim Walden,0
23,042,Queens,Joseph Hernandez,0
23,042,Queens,Zohran Kwame Mamdani,154
23,043,Queens,Andrew M. Cuomo,7
23,043,Queens,Curtis A. Sliwa,0
23,043,Queens,Eric L. Adams,0
23,043,Queens,Irene Estrada,0
23,043,Queens,Jim Walden,0
23,043,Queens,Joseph Hernandez,0
23,043,Queens,Zohran Kwame Mamdani,14
23,044,Queens,Andrew M. Cuomo,544
23,044,Queens,Curtis A. Sliwa,230
23,044,Queens,Eric L. Adams,0
23,044,Queens,Irene Estrada,4
23,044,Queens,Jim Walden,1
23,044,Queens,Joseph Hernandez,1
23,044,Queens,Zohran Kwame Mamdani,209
23,045,Queens,Andrew M. Cuomo,345
23,045,Queens,Curtis A. Sliwa,165
23,045,Queens,Eric L. Adams,1
