ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION,MEDIA_TYPE
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6529,Digital Ad Meta 2,2025-06-21,INTVID,Video (Internet),50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6530,Digital Ad Meta 3,2025-06-21,INTVID,Video (Internet),50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7408,Digital Ad_Pivot,2025-10-31,INTVID,Video (Internet),20000,2993,"Cuomo, Andrew M",1,,20000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7409,Digital Ad_Pivot 2,2025-10-31,INTVID,Video (Internet),20000,2993,"Cuomo, Andrew M",1,,20000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6574,DN 6.23 Ad,2025-06-23,PRINT,Print Ad,50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6339,Flatbush Jewish AD1,2025-06-19,PRINT,Print Ad,8333,2899,"Mamdani, Zohran K",1,,8333.0,Oppose,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6341,Flatbush Jewish AD2,2025-06-19,PRINT,Print Ad,8333,2899,"Mamdani, Zohran K",1,,8333.0,Oppose,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6342,Flatbush Jewish AD3,2025-06-19,PRINT,Print Ad,8334,2993,"Cuomo, Andrew M",1,,8334.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,23,5664,FTC Done Spanish Ad,2025-06-06,INTVID,Video (Internet),170000,2993,"Cuomo, Andrew M",1,,170000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,23,5661,FTC Dough Digital Ad,2025-06-05,INTVID,Video (Internet),112500,2993,"Cuomo, Andrew M",1,,112500.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6447,FTC Essence 1,2025-06-20,INTAD,Internet - Display/Banner,50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6448,FTC Essence 2,2025-06-20,INTAD,Internet - Display/Banner,50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6449,FTC Essence 3,2025-06-20,INTAD,Internet - Display/Banner,50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6450,FTC Essence 4,2025-06-20,INTAD,Internet - Display/Banner,50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,23,5660,FTC Fewer Digital Ad,2025-06-05,INTVID,Video (Internet),112500,2993,"Cuomo, Andrew M",1,,112500.0,Support,digital_video
